municipio,latitude,longitude,escolarizacao
Abadia dos Dourados,-18.4911191,-47.4063589,98.3
Abaeté,-19.1566833,-45.4481213,99.8
Abre Campo,-20.295421,-42.480131,97.4
Acaiaca,-20.3621646,-43.1444162,96.0
Açucena,-19.073056,-42.546666,96.7
Água Boa,-17.9956411,-42.3899261,92.9
Água Comprida,-20.0574733,-48.1093074,95.2
Aguanil,-20.9424533,-45.3927152,97.4
Águas Formosas,-17.0834193,-40.9339978,96.6
Águas Vermelhas,-15.746305,-41.4592963,93.3
Aimorés,-19.4917754,-41.0615603,96.5
Aiuruoca,-21.9759554,-44.6036637,99.3
Alagoa,-22.1697202,-44.6400042,99.0
Albertina,-22.200556,-46.615556,98.4
Além Paraíba,-21.8760576,-42.6810473,97.6
Alfenas,-21.4297405,-45.9479419,97.8
Alfredo Vasconcelos,-21.145833,-43.776389,98.0
Almenara,-16.1753775,-40.6916675,97.8
Alpercata,-18.9803616,-41.9827637,99.1
Alpinópolis,-20.863611,-46.387777,97.0
Alterosa,-21.249166,-46.143055,97.7
Alto Caparaó,-20.4405661,-41.8683799,98.5
Alto Rio Doce,-21.0239537,-43.4133507,95.9
Alvarenga,-19.4175,-41.728334,96.9
Alvinópolis,-20.1105199,-43.0601805,97.3
Alvorada de Minas,-18.7318587,-43.3641479,94.6
Amparo do Serra,-20.5070255,-42.8028462,98.6
Andradas,-22.0693412,-46.5707584,96.7
Cachoeira de Pajeú,-15.9656186,-41.4971695,97.3
Andrelândia,-21.739722,-44.308889,98.2
Angelândia,-17.7253,-42.2728,98.3
Antônio Carlos,-21.318334,-43.746666,98.0
Antônio Dias,-19.6525,-42.872778,98.2
Antônio Prado de Minas,-21.0171988,-42.1101106,99.1
Araçaí,-19.200833,-44.2475,98.9
Aracitaba,-21.3425,-43.378611,97.0
Araçuaí,-16.8484451,-42.0661868,97.5
Araguari,-18.6511256,-48.1933764,97.8
Arantina,-21.911667,-44.255833,98.6
Araponga,-20.6662266,-42.5218021,95.0
Araporã,-18.4318188,-49.188313,99.3
