municipio,cod_municipio,gentilico,prefeito_2021,area_territorial_km2,populacao_residente,densidade_demografica,escolarizacao_6_14_anos,IDHM,mortalidade_infantil,receitas_brutas,despesas_brutas,PIB_per_capita,municipio_upper
Abadia dos Dourados,310010,abadiense,WANDERLEI LEMES SANTOS,880.461,6272.00,7.12,98.3,0.689,37.04,44202945.98,40697025.21,25174.26,ABADIA DOS DOURADOS
Abaeté,310020,abaetense,IVANIR DELADIER DA COSTA,1817.067,22675.00,12.48,99.8,0.698,14.35,113929765.50,108110225.20,23266.1,ABAETE
Abre Campo,310030,abre-campense,VITOR HENRIQUE MOREIRA FERREIRA DE OLIVEIRA,470.551,13927.00,29.6,97.4,0.654,15.96,68370646.27,59685811.73,19553.86,ABRE CAMPO
Acaiaca,310040,acaiaquense,LUIZ CARLOS FAUSTINO,101.886,3909.00,38.37,96.0,0.63,18.72,29827818.55,27583150.37,16247.06,ACAIACA
Açucena,310050,açucenense,RAULISSON MORAIS,815.422,8943.00,10.97,96.7,0.61,18.72,43297064.77,44079763.29,17888.2,ACUCENA
Água Boa,310060,água-boense,ORLANDO CARDOSO PEREIRA,1320.344,12589.00,9.53,92.9,0.576,6.99,61260422.88,58446633.86,14421.07,AGUA BOA
Água Comprida,310070,água-compridense,ALEXANDRE DE ALMEIDA SILVA,492.167,2108.00,4.28,95.2,0.675,18.72,41473621.63,32885423.19,115725.51,AGUA COMPRIDA
Aguanil,310080,aguanilense,JOSE MARCIO DE OLIVEIRA,232.091,4357.00,18.77,97.4,0.663,18.72,36324373.19,32465532.36,20762.54,AGUANIL
Águas Formosas,310090,águas-formosense,CARLOS SOUZA,820.079,18448.00,22.5,96.6,0.645,11.67,85627230.51,75320284.72,14913.12,AGUAS FORMOSAS
Águas Vermelhas,310100,águas-vermelhense,NILSON FRANCISCO CAMPOS,1256.607,14037.00,11.17,93.3,0.601,18.72,70885447.15,66493180.75,17329.28,AGUAS VERMELHAS
Aimorés,310110,aimorense,MARCELO MARQUES,1348.913,25269.00,18.73,96.5,0.684,14.97,128036194.15,126059822.40,25402.54,AIMORES
Aiuruoca,310120,aiuruocano,ERLISSON VITOR LOPES,649.68,6233.00,9.59,99.3,0.668,18.87,39947536.55,38870979.65,21608.49,AIURUOCA
Alagoa,310130,alagoense,JULIANO DINIZ DE OLIVEIRA,161.356,2749.00,17.04,99.0,0.649,18.72,30584326.47,32670241.58,17958.99,ALAGOA
Albertina,310140,albertinense,JOÃO PAULO FACANALI DE OLIVEIRA,58.01,2952.00,50.89,98.4,0.673,18.72,35984799.93,34306410.86,51065.05,ALBERTINA
Além Paraíba,310150,além-paraibano,MIGUEL BELMIRO DE SOUZA JUNIOR,510.25,30717.00,60.2,97.6,0.726,18.58,141184543.24,135226993.00,27422.83,ALEM PARAIBA
Alfenas,310160,alfenense,LUIZ ANTONIO DA SILVA,850.446,78970.00,92.86,97.8,0.761,13.02,495065667.81,486054738.90,43049.74,ALFENAS
Alfredo Vasconcelos,310163,vasconcelense,MAURO CESAR DE OLIVEIRA,130.815,6931.00,52.98,98.0,0.675,16.67,44369849.99,46401366.68,21364.59,ALFREDO VASCONCELOS
Almenara,310170,almenarense,ADEMIR COSTA GOBIRA,2294.426,40364.00,17.59,97.8,0.642,11.67,174767140.67,173429080.60,15924.96,ALMENARA
Alpercata,310180,alpercatense,RAFAEL AUGUSTO FRANCA OLIVEIRA MACHADO,166.972,6903.00,41.34,99.1,0.646,11.9,50428693.30,43960440.84,12700.99,ALPERCATA
Alpinópolis,310190,alpinopolense,RAFAEL HENRIQUE DA SILVA FREIRE,460.685,18300.00,39.72,97.0,0.725,33.02,87968768.01,83878828.94,26133.79,ALPINOPOLIS
Alterosa,310200,alterosense,MARCELO NUNES DE SOUZA,362.01,13915.00,38.44,97.7,0.668,19.35,70724610.45,65074998.38,20357.31,ALTEROSA
Alto Caparaó,310205,alto caparoense,JOSÉ JACOMEL JÚNIOR,103.69,5795.00,55.89,98.5,0.661,18.72,36337487.68,35086844.16,16354.23,ALTO CAPARAO
Alto Rio Doce,310210,alto-rio-docense,VICTOR DE PAIVA LOPES,518.053,10891.00,21.02,95.9,0.62,10.31,55703632.44,50493714.54,16798.64,ALTO RIO DOCE
Alvarenga,310220,alvarenguense,DIOCÉLIO FERNANDO RIBEIRO,278.175,3975.00,14.29,96.9,0.592,18.72,33184023.39,30537100.11,14445.67,ALVARENGA
Alvinópolis,310230,alvinopolense,MAUROSAN GONÇALVES MACHADO,599.443,15059.00,25.12,97.3,0.676,8.0,69578558.67,71546332.78,22478.72,ALVINOPOLIS
Alvorada de Minas,310240,alvoradense,VALTER ANTONIO COSTA,374.008,4159.00,11.12,94.6,0.572,16.39,126952509.41,94414630.20,17990.28,ALVORADA DE MINAS
Amparo do Serra,310250,serrense,JOSÉ EDUARDO BARBOSA COUTO,136.186,4541.00,33.34,98.6,0.641,16.95,29866370.59,29787128.73,12045.13,AMPARO DO SERRA
Andradas,310260,andradense,MARGOT NAVARRO GRAZIANI PIOLI,469.396,40553.00,86.39,96.7,0.734,6.68,194322452.88,186669190.40,28386.06,ANDRADAS
Cachoeira de Pajeú,310270,cachoeirense,GERALDO DUARTE DE SOUSA,695.672,9110.00,13.1,97.3,0.578,18.72,42418211.07,36357346.80,13262.75,CACHOEIRA DE PAJEU
Andrelândia,310280,andrelandense,FRANCISCO CARLOS RIVELLI,1005.285,11927.00,11.86,98.2,0.7,8.06,70335839.79,77905433.00,23950.85,ANDRELANDIA
Angelândia,310285,angelandense,JOÃO PAULO BATISTA DE SOUZA,185.211,7718.00,41.67,98.3,0.597,10.53,44683208.45,43179030.94,16818.81,ANGELANDIA
Antônio Carlos,310290,antônio-carlense,MARCELO RIBEIRO DA SILVA,529.915,11095.00,20.94,98.0,0.683,18.72,50385896.90,49075002.27,21088.32,ANTONIO CARLOS
Antônio Dias,310300,antônio-diense,BENEDITO DE ASSIS LIMA,787.061,9219.00,11.71,98.2,0.645,11.9,92725768.91,90235351.24,96894.13,ANTONIO DIAS
Antônio Prado de Minas,310310,pradense-de-minas,WELISON SIMA  DA FONSECA,83.802,1538.00,18.35,99.1,0.684,18.72,24975715.35,23796593.23,18117.22,ANTONIO PRADO DE MINAS
Araçaí,310320,araçaiense,MARCIO GONZAGA DIAS DE OLIVEIRA,187.538,2181.00,11.63,98.9,0.695,18.72,26406154.77,25481128.44,25422.8,ARACAI
Aracitaba,310330,aracitabense,TEREZINHA MARCÍLIA DO AMARAL TOLEDO,106.608,2049.00,19.22,97.0,0.661,18.72,25491937.41,25729879.92,15253.67,ARACITABA
Araçuaí,310340,araçuaiense,TADEU BARBOSA DE OLIVEIRA,2236.279,34297.00,15.34,97.5,0.663,6.19,151048606.97,147303427.50,14163.67,ARACUAI
Araguari,310350,araguarino,RENATO CARVALHO FERNANDES,2729.777,117808.00,43.16,97.8,0.773,11.74,695932286.64,683904825.70,49322.18,ARAGUARI
Arantina,310360,arantinense,EDIMAR LUIS DE OLIVEIRA,89.42,2915.00,32.6,98.6,0.697,40.0,30517554.03,29227218.28,31861.03,ARANTINA
Araponga,310370,araponguense,LUIZ HENRIQUE MACEDO TEIXEIRA,303.793,8048.00,26.49,95.0,0.536,8.47,45078903.47,41628123.04,14443.79,ARAPONGA
Araporã,310375,araporense,RENATA CRISTINA SILVA BORGES,294.354,8479.00,28.81,99.3,0.708,33.06,108278751.70,105184083.70,185156.76,ARAPORA
Arapuá,310380,arapuaense,JOAO BATISTA TERTO DA CUNHA,173.894,2631.00,15.13,98.3,0.724,18.72,30620038.72,28677058.90,60936.37,ARAPUA
Araújos,310390,araujense,GERALDO MAGELA DA SILVA,245.522,9199.00,37.47,95.6,0.698,7.25,45790841.33,47735348.59,49809.64,ARAUJOS
Araxá,310400,araxaense,RUBENS MAGELA DA SILVA,1164.062,111691.00,95.95,97.1,0.772,8.71,742366050.03,752637820.30,82570.25,ARAXA
Arceburgo,310410,arceburguense,GILSON PEREIRA DE MELLO,162.875,9177.00,56.34,98.7,0.683,25.64,61073222.33,55093844.58,31547.24,ARCEBURGO
Arcos,310420,arcoense,CLAUDENIR JOSÉ DE MELO,509.873,41416.00,81.23,98.4,0.749,10.31,214501746.04,210119517.80,57713.61,ARCOS
Areado,310430,areadense,DOUGLAS ÁVILA MOREIRA,283.124,13881.00,49.03,98.2,0.727,20.83,69054346.95,71655060.18,20234.71,AREADO
